Condition,Target Luminance,Sacc. Dir.,Horiz. land. pos. (M),Horiz. land. pos. (SD)
Constant,Dark,Left,-9.79110066707,1.14599923988
Constant,Bright,Left,-9.89206034746,1.10566072459
Onset,Dark,Left,-9.74611634709,1.28757136449
Onset,Bright,Left,-9.65839391937,1.27892771044
Swap,Dark,Left,-9.97895071542,1.1445933402
Swap,Bright,Left,-9.83949579832,1.20601804186
Constant,Dark,Right,9.96404024768,1.00660121481
Constant,Bright,Right,9.9804031725,0.897073553
Onset,Dark,Right,9.99219395866,1.21028364001
Onset,Bright,Right,9.9493902439,1.10983714482
Swap,Dark,Right,10.0066295707,1.04206982637
Swap,Bright,Right,9.87408585056,1.02231376144
